WaveLength,Rrs_sim,Rrs_lid
444.7,2.224787271,5.226111134
446.1,2.245828561,5.287797542
447.6,2.264672863,5.343888481
449,2.290813388,5.393048194
450.4,2.322460589,5.433547097
451.9,2.350645092,5.467793061
453.3,2.376621889,5.501142298
454.7,2.397882045,5.539842323
456.1,2.43423566,5.571472525
457.6,2.469167022,5.599466201
459,2.505184306,5.627073458
460.4,2.54624211,5.656984206
461.9,2.597168377,5.682667695
463.3,2.649544465,5.703450069
464.7,2.704416044,5.724627631
466.1,2.756906184,5.748983911
467.5,2.823168885,5.777587989
469,2.89319948,5.808654784
470.4,2.970934422,5.839045927
471.8,3.047769735,5.864793233
473.2,3.133211709,5.891902944
474.6,3.214870316,5.914877392
476.1,3.294504796,5.938756907
477.5,3.370844675,5.963275277
478.9,3.451567665,5.991567586
480.3,3.533563189,6.023064719
481.7,3.610198681,6.053385354
483.1,3.696465131,6.087942379
484.5,3.76198181,6.122082558
486,3.812530415,6.16770125
487.4,3.853309904,6.216074244
488.8,3.927320539,6.261934625
490.2,3.985508315,6.301491315
491.6,4.041180973,6.350148968
493,4.091396201,6.40519037
494.4,4.149553907,6.45332196
495.8,4.207707659,6.498449891
497.2,4.245720788,6.543967959
498.6,4.276420678,6.581711328
500,4.280369316,6.617660597
501.5,4.293973002,6.651748099
502.9,4.301940691,6.690829432
504.3,4.328444387,6.730007738
505.7,4.34796202,6.770146391
507.1,4.370437963,6.815605894
508.5,4.388126647,6.868441692
509.9,4.41805804,6.927810495
511.3,4.452827453,6.980724672
512.7,4.492408836,7.038024103
514.1,4.547394078,7.096810898
515.5,4.579676121,7.15420925
516.9,4.598303865,7.212697873
518.3,4.615292529,7.278687331
519.7,4.662514319,7.336187239
521.1,4.702649556,7.384500109
522.5,4.739577827,7.442992133
523.9,4.787355329,7.50629128
525.3,4.818139888,7.573092035
526.7,4.844009938,7.645046451
528.1,4.876730246,7.720230291
529.5,4.937842043,7.788175531
530.9,5.054995237,7.851129119
532.3,5.253887427,7.916724424
533.7,5.335893657,7.962093925
535,5.264047467,8.047545699
536.4,5.209655393,8.203759733
